Time,Aeon Motion,Aeon Temp,Aeon Lum,Aeon Hum,
1433857991,1,0.10,2.00,0.00,
1433857997,1,23.10,232.00,22.00,
1433858003,1,23.10,231.00,22.00,
1433858008,1,23.10,232.00,22.00,
1433858013,1,23.10,232.00,22.00,
1433858019,1,23.10,232.00,22.00,
1433858024,1,23.10,232.00,22.00,
1433858031,1,23.10,234.00,22.00,
1433858037,1,23.10,231.00,22.00,
1433858042,1,23.10,231.00,22.00,
1433858047,1,23.10,233.00,22.00,
1433858053,1,23.00,232.00,22.00,
1433858058,1,23.00,233.00,22.00,
1433858064,1,23.00,233.00,22.00,
1433858069,1,23.00,230.00,22.00,
1433858075,1,23.00,229.00,22.00,
1433858081,1,23.00,232.00,22.00,
1433858086,1,23.00,230.00,22.00,
1433858092,1,23.00,230.00,22.00,
1433858098,1,23.00,231.00,22.00,
1433858103,1,23.00,231.00,22.00,
1433858109,1,23.00,231.00,22.00,
1433858114,1,23.00,231.00,22.00,
1433858120,1,23.00,230.00,22.00,
1433858125,1,22.90,231.00,22.00,
1433858130,1,22.90,230.00,22.00,
1433858136,1,22.90,230.00,22.00,
1433858141,1,22.90,230.00,22.00,
1433858146,1,22.90,229.00,22.00,
1433858152,1,22.90,230.00,22.00,
1433858158,1,22.90,229.00,22.00,
1433858163,1,22.90,230.00,22.00,
1433858169,1,22.90,229.00,22.00,
1433858174,1,22.90,233.00,22.00,
1433858180,1,22.90,230.00,22.00,
1433858185,1,22.90,230.00,22.00,
1433858191,1,22.90,229.00,22.00,
1433858197,1,22.90,228.00,22.00,
1433858202,1,22.90,228.00,22.00,
1433858207,1,22.90,230.00,22.00,
1433858213,1,22.90,230.00,22.00,
1433858218,1,22.90,229.00,22.00,
1433858225,1,22.90,230.00,22.00,
1433858230,1,22.90,230.00,22.00,
1433858236,1,22.90,228.00,22.00,
1433858241,1,22.90,230.00,22.00,
1433858246,1,22.90,230.00,22.00,
1433858252,1,22.90,229.00,22.00,
1433858258,1,22.90,231.00,22.00,
1433858264,1,22.90,231.00,22.00,
1433858269,1,22.90,231.00,22.00,
1433858275,1,22.90,231.00,22.00,
1433858280,1,22.90,228.00,22.00,
1433858286,1,22.90,230.00,22.00,
1433858292,1,22.90,230.00,22.00,
1433858297,1,22.90,231.00,22.00,
1433858303,1,22.90,231.00,22.00,
1433858309,1,22.90,232.00,22.00,
1433858314,1,22.90,231.00,22.00,
1433858320,1,22.90,230.00,22.00,
1433858325,1,22.90,229.00,22.00,
1433858331,1,22.90,230.00,22.00,
1433858336,1,22.90,228.00,22.00,
1433858341,1,22.90,228.00,22.00,
1433858347,1,22.90,230.00,22.00,
1433858352,1,22.90,230.00,22.00,
1433858358,1,22.90,231.00,22.00,
1433858364,1,22.90,228.00,22.00,
1433858370,1,22.90,229.00,22.00,
1433858375,1,22.90,227.00,22.00,
1433858381,1,22.90,228.00,22.00,
1433858387,1,22.90,228.00,22.00,
1433858392,1,22.90,229.00,22.00,
1433858398,1,22.90,230.00,22.00,
