Time,Aeon Motion,Aeon Temp,Aeon Lum,Aeon Hum,
1433859633,1,23.10,216.00,22.00,
1433859639,1,23.10,217.00,22.00,
1433859644,1,23.10,217.00,22.00,
1433859650,1,23.10,216.00,22.00,
1433859655,1,23.10,214.00,22.00,
1433859661,1,23.10,219.00,22.00,
1433859666,1,23.00,217.00,22.00,
1433859672,1,23.00,219.00,22.00,
1433859678,1,23.00,218.00,22.00,
1433859683,1,23.00,217.00,22.00,
1433859689,1,23.00,217.00,22.00,
1433859694,1,23.00,217.00,22.00,
1433859699,1,22.90,219.00,22.00,
1433859705,1,22.90,222.00,22.00,
1433859711,1,22.90,220.00,22.00,
1433859716,1,22.90,219.00,22.00,
1433859722,1,22.90,220.00,22.00,
1433859728,1,22.90,219.00,22.00,
1433859733,1,22.90,217.00,22.00,
1433859738,1,22.90,218.00,22.00,
1433859744,1,22.80,218.00,22.00,
1433859749,1,22.80,218.00,22.00,
1433859755,1,22.80,221.00,22.00,
1433859761,1,22.80,219.00,22.00,
1433859766,1,22.80,220.00,22.00,
1433859771,1,22.80,221.00,22.00,
1433859777,1,22.80,220.00,22.00,
1433859782,1,22.80,221.00,22.00,
1433859788,1,22.80,218.00,22.00,
1433859794,1,22.80,221.00,22.00,
1433859800,1,22.80,220.00,22.00,
1433859805,1,22.80,219.00,22.00,
1433859811,1,22.80,221.00,22.00,
1433859817,1,22.80,220.00,22.00,
1433859823,1,22.80,219.00,22.00,
1433859828,1,22.80,221.00,22.00,
1433859834,1,22.80,219.00,22.00,
1433859839,1,22.80,221.00,22.00,
1433859845,1,22.80,220.00,22.00,
1433859851,1,22.80,218.00,22.00,
1433859857,1,22.80,220.00,22.00,
1433859863,1,22.80,219.00,22.00,
1433859868,1,22.80,219.00,22.00,
1433859874,1,22.80,219.00,22.00,
1433859879,1,22.80,221.00,22.00,
1433859886,1,22.80,220.00,22.00,
1433859891,1,22.80,220.00,22.00,
1433859897,1,22.80,221.00,22.00,
1433859903,1,22.80,218.00,22.00,
1433859909,1,22.80,220.00,22.00,
1433859914,1,22.80,219.00,22.00,
1433859920,1,22.80,221.00,22.00,
1433859926,1,22.80,219.00,22.00,
1433859931,1,22.80,220.00,22.00,
1433859937,1,22.80,219.00,22.00,
1433859943,1,22.80,221.00,22.00,
1433859948,1,22.90,219.00,22.00,
1433859954,1,22.80,218.00,22.00,
1433859959,1,22.90,220.00,22.00,
1433859965,1,22.90,218.00,22.00,
1433859970,1,22.90,221.00,22.00,
1433859976,1,22.90,221.00,22.00,
1433859982,1,22.90,221.00,22.00,
1433859987,1,22.90,220.00,22.00,
1433859993,1,22.90,210.00,22.00,
1433860000,1,22.90,1.00,22.00,
1433860006,1,22.80,275.00,22.00,
1433860011,1,22.80,271.00,22.00,
1433860017,1,22.70,1000.00,22.00,
1433860023,1,22.70,915.00,22.00,
1433860028,1,22.70,1000.00,22.00,
1433860034,1,22.70,1000.00,22.00,
1433860040,1,22.80,370.00,22.00,
1433860045,1,22.90,278.00,22.00,
1433860051,1,22.90,275.00,22.00,
1433860057,1,22.90,271.00,22.00,
1433860062,1,22.90,273.00,22.00,
1433860068,1,22.90,273.00,22.00,
1433860073,1,22.90,277.00,22.00,
1433860079,1,22.90,282.00,22.00,
1433860085,1,22.90,281.00,22.00,
1433860090,1,22.90,271.00,22.00,
1433860096,1,22.90,284.00,22.00,
1433860102,1,22.90,276.00,22.00,
1433860108,1,22.90,276.00,22.00,
1433860114,1,22.90,287.00,22.00,
1433860120,1,22.90,281.00,22.00,
1433860126,1,22.90,284.00,22.00,
1433860132,1,22.90,280.00,22.00,
1433860138,1,22.90,278.00,22.00,
1433860144,1,22.90,285.00,22.00,
1433860149,1,23.00,277.00,22.00,
1433860155,1,22.90,287.00,22.00,
1433860161,1,22.90,282.00,22.00,
1433860167,1,23.00,279.00,22.00,
1433860173,1,23.00,281.00,22.00,
1433860179,1,23.00,278.00,22.00,
1433860185,1,23.00,287.00,22.00,
1433860191,1,23.00,286.00,22.00,
1433860197,1,23.00,289.00,22.00,
1433860203,1,23.00,283.00,22.00,
1433860208,1,23.00,282.00,22.00,
1433860214,1,23.00,285.00,22.00,
1433860219,1,23.00,288.00,22.00,
1433860225,1,23.00,282.00,22.00,
1433860231,1,23.00,284.00,22.00,
1433860236,1,23.00,289.00,22.00,
1433860242,1,23.00,289.00,22.00,
1433860247,1,23.00,279.00,22.00,
1433860253,1,23.00,284.00,22.00,
1433860258,1,23.00,280.00,22.00,
1433860263,1,22.90,279.00,22.00,
1433860269,1,23.00,281.00,22.00,
1433860274,1,22.90,284.00,22.00,
1433860280,1,23.00,284.00,22.00,
1433860286,1,22.90,287.00,22.00,
1433860291,1,22.90,276.00,22.00,
1433860296,1,22.90,282.00,22.00,
1433860302,1,22.90,280.00,22.00,
1433860307,1,22.90,280.00,22.00,
1433860313,1,22.90,279.00,22.00,
1433860318,1,22.90,292.00,22.00,
1433860324,1,22.90,280.00,22.00,
1433860329,1,22.90,290.00,22.00,
1433860334,1,22.90,292.00,22.00,
1433860340,1,22.90,290.00,22.00,
1433860346,1,22.90,290.00,22.00,
1433860352,1,22.90,282.00,22.00,
1433860357,1,22.90,284.00,22.00,
1433860362,1,22.90,287.00,22.00,
